,school_name,school_city,school_score,school_post_code,address
2731,St Michael,Belleville,3.8,K8N3C7,273 Church St
2732,St. Joseph,Cobourg,3.8,K9A4B4,919 D'Arcy St N
2733,Vanier,Brockville,3.8,K6V3J5,40 Vanier Drive
2734,Assomption,Earlton,3.7,P0J1E0,24 avenue 9e CP 40
2735,Bishop Townshend,London,3.7,N5Y1X4,814 Quebec St  7865
2736,Centennial,Ottawa,3.7,K1R5E8,376 Gloucester St
2737,David Bouchard,Oshawa,3.7,L1H6C9,460 Wilson Road
2738,David Maxwell,Windsor,3.7,N8Y4L9,1648 Francois Rd
2739,Elizabeth Bagshaw,Hamilton,3.7,L8K5J4,350 Albright Road
2740,Evergreen Heights,Emsdale,3.7,P0A1J0,2510 Highway 592 Box 149
2741,Frankford,Frankford,3.7,K0K2C0,36 Adelaide St Box 300
2742,Galloway Road,Toronto,3.7,M1E1X2,192 Galloway Rd
2743,General Brock,Windsor,3.7,N9C1B1,3312 Sandwich St
2744,Glen Cairn,London,3.7,N5Z3Y5,53 Frontenac Rd
2745,Grafton,Grafton,3.7,K0K2G0,654 Station Rd Box 100
2746,Greely,Greely,3.7,K4P1A9,7066 Parkway Rd
2747,Humphrey Central,Parry Sound,3.7,P2A2W8,120 Hwy 141
2748,J L Mitchener,Cayuga,3.7,N0A1E0,60 Munsee St. S Box 99
2749,Lawfield,Hamilton,3.7,L8V2R5,45 Berko Avenue
2750,Meadowbrook,Newmarket,3.7,L3Y3L5,233 Patterson St
2751,Mosa Central,Glencoe,3.7,N0L1M0,22741 Pratt Siding Rd  22741
2752,Oakley Park,Barrie,3.7,L4M3R8,22 Davidson St
2753,Princess Elizabeth,Windsor,3.7,N8S1Z6,5399 Raymond Rd
2754,Roxmore,Avonmore,3.7,K0C1C0,16279 Fairview Drive 39
2755,Santa Maria,Toronto,3.7,M6N4X8,25 Avon Ave
2756,St Margaret's,Toronto,3.7,M1E1X5,235 Galloway Rd
2757,St Mary's,Goderich,3.7,N7A1A4,70 Bennett St E
2758,Stella Maris,Toronto,3.7,M6E1E6,31 Ascot Ave
2759,Sundridge Centennial,Sundridge,3.7,P0A1Z0,118 Main St Box 419
2760,The Prince Charles,Napanee,3.7,K7R2J9,75 Graham St W
2761,V P Carswell,Trenton,3.7,K8V2E9,4 Seneca Rd
2762,Victor Lauriston,Chatham,3.7,N7M1Y1,44 Alexandra Ave
2763,Zorra Highland Park,Embro,3.7,N0J1J0,County Road 6
2764,Annandale,Tillsonburg,3.6,N4G3A1,60 Tillson Ave
2765,Avenue Road,Cambridge,3.6,N1R4M2,42 Gail St
2766,Bonaventure Meadows,London,3.6,N5V4S6,141 Bonaventure Dr
2767,Central,Cambridge,3.6,N1R1W5,175 Main St E
2768,Chesterville,Chesterville,3.6,K0C1H0,38 College Street 489
2769,Evelyn Harrison,London,3.6,N5V2M8,50 Tewksbury Cres
2770,Frank W Begley,Windsor,3.6,N9A3C5,1093 Assumption St
2771,G C Huston,Southampton,3.6,N0H2L0,61 Victoria St Box 970
2772,John Wise,St Thomas,3.6,N5R3T9,100 Parkside Drive
2773,Joyceville,Joyceville,3.6,K0H1Y0,2903 Joyceville Rd
2774,L'Héritage,St Catharines,3.6,L2N3Y8,35 promenade Prince Charles
2775,Lincoln Heights,Waterloo,3.6,N2J3S9,270 Quickfall Dr
2776,McGillivray Central,Ailsa Craig,3.6,N0M1A0,34714 Creamery Rd
2777,Our Lady of Grace,Angus,3.6,L0M1B2,24 Roth St
2778,Parkview,Lindsay,3.6,K9V4M2,133 Adelaide St N
2779,Prince Charles,Belleville,3.6,K8P3W2,75 Ritchie Ave
2780,Robert E Wilson,Vanier,3.6,K1L6N5,373 McArthur Ave
2781,Sir Winston Churchill,Brampton,3.6,L6W1V1,89 Ardglen Dr
2782,St Ann's,Penetanguishene,3.6,L9M1J2,5 Dunlop St
2783,St Bernadette,Kitchener,3.6,N2M3Y9,245 Lorne Ave
2784,St Joseph,Toronto,3.6,M4M3C7,176 Leslie St
2785,St Mary,Massey,3.6,P0P1P0,290 Algoma St Box 640
2786,St Patrick,Niagara Falls,3.6,L2E4B8,4653 Victoria Ave
2787,Académie de la Moraine,Richmond Hill,3.5,L4E2T2,13200 rue Yonge
2788,Blessed Sacrament,London,3.5,N5Y3L4,1063 Oxford St E
2789,Charles C McLean,Gore Bay,3.5,P0P1H0,43 Hall St PO Box 678
2790,Cochrane,Cochrane,3.5,P0L1C0,453A Chalmers Avenue Box 999
2791,E W Norman,North Bay,3.5,P1A3A1,599 Lake Heights Rd
2792,Elgin Market,Kincardine,3.5,N2Z2R6,305 Queen St
2793,Ernest Cumberland,Alliston,3.5,L9R1A5,160 Eighth Ave
2794,Franklin,Hamilton,3.5,L8V2A4,500 Franklin Road
2795,Granite Ridge Education Centre,Sharbot Lake,3.5,K0H2P0,14432 Road 38
2796,H J Lassaline,Windsor,3.5,N8R1Y1,3145 Wildwood Dr
2797,James Keating,Penetanguishene,3.5,L9M1B2,20 Lorne Ave
2798,K P Manson,Severn Bridge,3.5,P0E1N0,1017 Graham Rd.  1017 Graham Rd
2799,Kingsway Park,Thunder Bay,3.5,P7E4R9,315 Empire Ave
2800,Marie-Curie,Ottawa,3.5,K1G1R7,860 avenue Colson
2801,Monseigneur-de-Laval,Hamilton,3.5,L9C1N4,135 avenue Bendamere
2802,Northdale,Woodstock,3.5,N4S6W5,290 Victoria St N
2803,Prince of Wales,Brockville,3.5,K6V4C8,210 Pearl Street West
2804,Queen Elizabeth,Kitchener,3.5,N2M3N2,191 Hoffman St
2805,Queen Elizabeth,Leamington,3.5,N8H2E2,4 Maxon Ave
2806,Rockway,Kitchener,3.5,N2C1J5,70 Vanier Dr
2807,Sainte-Catherine,Pain Court,3.5,N0P1Z0,24162 chemin Winterline C.P. 10
2808,Sherbrooke,Thunder Bay,3.5,P7C4R6,110 Sherbrooke St
2809,Sir Wilfrid Laurier,Hamilton,3.5,L8K5J3,70 Albright Road
2810,South Edwardsburg,Johnstown,3.5,1T1,8 Second Street
2811,Thessalon,Thessalon,3.5,P0R1L0,90 Stanley St Box 370
2812,Village Union,Oshawa,3.5,L1H4H4,240 Simcoe St S
2813,White Oaks,London,3.5,N6E3Z8,565 Bradley Ave
2814,Carleton Heights,Ottawa,3.4,K2C1P4,1660 Prince of Wales Dr
2815,Centennial,Kingston,3.4,K7M2R2,120 Norman Rogers Dr
2816,Delaware Central,Delaware,3.4,N0L1E0,14 Osborne St Box 36
2817,Grandview,Brantford,3.4,N3R4J9,68 North Park St
2818,Knollwood Park,London,3.4,N5Y2B1,70 Gammage St
2819,Lady Evelyn Alternative,Ottawa,3.4,K1S0C6,63 Evelyn Ave
2820,Lord Elgin,London,3.4,N5Y4E2,1100 Victoria Dr
2821,Maple Grove,Lanark,3.4,K0G1K0,151 George Street 90
2822,Mattawa District,Mattawa,3.4,P0H1V0,376 Park St Box 330
2823,Monsignor Philip Coffey,Oshawa,3.4,L1J3W6,1324 Oxford St
2824,Northeastern,Garson,3.4,P3L1P8,45 Spruce St
2825,Our Lady of Victory,Toronto,3.4,M6N4N3,70 Guestville Ave
2826,Pope John XXIII,Nepean,3.4,K2G1B1,165 Knoxdale Rd
2827,Queen Elizabeth,Peterborough,3.4,K9J5V9,830 Barnardo Ave
