,school_name,school_city,school_score,school_post_code,address
3010,Adamsdale,Sudbury,0.7,P3B3L3,181 First Ave
3011,Centre Peel,Drayton,0.7,N0G1P0,7623 Sixth Line
3012,Deer Lake,Deer Lake,0.7,P0V1N0,Box 69
3013,F H Miller,Toronto,0.7,M6E4T5,300 Caledonia Rd
3014,Kiwedin,Sault Ste. Marie,0.7,P6B2C4,735 North St
3015,Prince of Wales,Belleville,0.7,K8P2T6,37 Prince of Wales Dr
3016,St-Gérard,Timmins,0.7,P4N1R7,59 avenue Sterling Est
3017,Eastdale,Woodstock,0.6,N4S4A2,65 Aileen Dr
3018,Jamieson,Ohsweken,0.6,1M0,1613 Chiefswood
3019,Lansdowne,Sudbury,0.6,P3C4M1,185 Lansdowne St
3020,Marmora,Marmora,0.6,K0K2M0,91 Madac St Box 310
3021,Pinecrest,Timmins,0.6,P4N6W1,542 Toke St
3022,Central Avenue,Elliot Lake,0.5,P5A2G4,81 Central Ave
3023,Diamond Jubilee,Kapuskasing,0.5,P5N1C5,61 Devonshire St
3024,Sir James Dunn,Wawa,0.4,P0S1K0,36 McKinley Ave Box 560
3025,St Brigids,Hamilton,0.4,L8L5P1,24 Smith Ave
3026,Major Ballachey,Brantford,0.3,N3S6C7,105 Rawdon St
3027,Duncan J Schoular,Smiths Falls,0.2,K7A3M9,41 McGill Street South
3028,Standing Stone,Southwold,0.2,N0L2G0,"2315 Keystone Pl, RR 2"
3029,Abe Scatch Memorial,Poplar Hill,0,3.00E+00,Box 23
3030,Biidaaban Kinoomagegamik,Massey,0,P0L1N0,30 rue 10e SP13000
3031,Chief Simeon McKay,Kasabonika,0,P0V1Y0,Box 120 Chief Simeon McKay Education Centre
3032,Eenchokay Birchstick,Pikangikum,0,P0V2L0,General Delivery
3033,Houghton,Langton,0,N0E1G0,505 Fairground Side Rd
3034,John C Yesno,Eabametoong (Fort Hope),0,P0T1L0,Box 297
3035,Kattawapiskak,Attawapiskat,0,P0L1A0,"2100 Riverside Dr W,"
3036,Lydia Lois Beardy Memorial,Wunnumin Lake,0,P0V2Z0,General Delivery Box 108
3037,Martin McKay Memorial,Sachigo Lake,0,2P0,
3038,Ministik,Moose Factory,0,P0L1W0,9 Horden St Box 160
3039,Mornington Central,Newton,0,N0K1R0,7241 Road 131
3040,Mundo Peetabeck,Fort Albany,0,P0L1H0,1 School Road 211
3041,Obishikokaang,Lac Seul,0,2A0,Frenchman's Head
3042,Saint-Joseph,Espanola,0,P5E1C4,333 boulevard Mead
3043,St Peter's,Parry Sound,0,P2A0A8,15 Silver Birch Court
3044,St-Dominique-Savio,Owen Sound,0,N4K6Z5,800 rue 23e est
3045,Thomas Fiddler Memorial,Sandy Lake,0,P0V1V0,8
